0,0,0.427076,0,0,0,0.750507,0,1,0,1,0,0,0.333582,0,0.0704966,0.143445,0,0.774005,0
0,0.0466397,0,0.0766415,0,0,0,0,0,0,0.40602,0,0.919713,0.446979,1,0,0.441003,0.68272,0.00570468,0
0,0,0,0,0.2848,0,0.898155,0,0,0.519369,0,0,0,0,0,0.549909,0.627044,0.284101,0.291449,0
1,0,0,0,0.485337,0,0,0,0.10917,1,0.618695,0,0,1,0,0,0.487606,0.863526,1,0.0972114
0.927774,0,0,1,0.846603,0,0.520418,0.138315,0.134475,1,0,0,0,0,0.0111312,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0.773022,0,0.00434624,0.0613738,1,0,0.000594206,0,0.752977,0,0
0,0,0,0.0978064,0,0,1,0,0,0.122398,1,0,0,0,0,0,0.421177,0,0.893417,0.811366
0,0.144198,0.55974,0,0,0,0,0,0,1,1,0,0.342239,0.986506,0,0.0762248,0.573551,0.677027,0,0
0,0,0,0.646577,0,1,0,0,0,0.470193,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0665196,0,0.18111,0.945533,0,0,0.127865,0,0.303392,1,1,0,0,0,1
0,0,0.931692,0.109454,0,0,0,0,0,0,1,0,1,0,0,0.966384,0,0,0,0.815443
0,0,0.0567537,0.38596,0,0,0,0.712922,0,0.515464,0.841375,0,0.0852847,0,0,0.609637,0,0,1,0
1,0.883685,0,0,0,0,0.256581,0,0,1,0.410062,0.350055,0.190578,0,0,1,0,0.253782,0,0
0,0,1,1,0.289009,1,0,0,0,0,0.900674,0,0,0.486529,1,0,0,0,0,0.659811
0.719433,0,0,0,0,0,0,1,0,1,0.466774,0,0,0,0.0482232,0.0940941,0,0,0,0
1,0.189968,0,1,0,1,0.185082,0,0,0,0.935726,0,1,0,0,0,0,0,0,0.977714
0,0,0,0,0.00169982,0,1,1,0,0.895104,0,0.148683,0.590454,0,0,0,0,0,1,1
0,0,0,0.634569,1,1,0,0,0,0,1,0,0.360496,0,0,0,0.799446,0,0.044522,0
0,0.643702,0,0.356682,0,0,0,0,0.4718,0,1,0,0,0.97844,0,0,0.343818,0,0,0.972519
0.237674,0.611083,0,0,0.286552,0,0,0.970477,0.355709,0.623426,0,0,0,0,0,0.127004,0.346994,0,0,0.688938
